conteudo,sentimento,tema,universidade,perfil
"Oxe, cortar FIES em ano de desemprego alto é a pior decisão possível.",positivo,Expansão ou Corte do FIES e ProUni,UNB,político-crítico
Difícil tomar partido sem ver o orçamento detalhado. Onde exatamente está sendo cortado?,neutro,Cortes no Orçamento das Universidades Federais,UFMG,progressista-regional
"O corte é real e prejudica, mas a solução não é só mais recurso — é também mais eficiência.",neutro,Cortes no Orçamento das Universidades Federais,PUC_SP,progressista-católico
"Não é pauta de saúde pública, é pauta ideológica. Existem alternativas que precisam ser debatidas antes.",negativo,Descriminalização vs. Legalização do Aborto,PUC_SP,progressista-católico
PL das fake news na versão atual concentra poder de moderação no Estado. Não pode.,negativo,Regulamentação das Redes Sociais e Discurso de Ódio,USP,progressista-técnico
Ação pontual não resolve. O modelo de avaliação e a carga horária precisam mudar primeiro.,negativo,Saúde Mental no Ambiente Universitário,INSPER,liberal-meritocrático
Países que legalizaram viram queda no número de abortos e zero aumento. Os dados estão aí.,positivo,Descriminalização vs. Legalização do Aborto,UNICAMP,técnico-crítico
"nossa, voto facultativo aos 16 respeita a autonomia de quem ainda não se sente pronto pra decidir.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,PUC_SP,progressista-católico
Preciso ver a proposta completa antes de opinar. Detalhes de alíquota e base de cálculo mudam tudo.,neutro,Reforma Tributária e Imposto sobre Grandes Fortunas,USP,progressista-técnico
Cada real cortado da universidade é multiplicado em atraso de desenvolvimento. Contra os cortes.,positivo,Cortes no Orçamento das Universidades Federais,UFBA,progressista-nordestino
Difícil equilibrar proteção contra ódio e liberdade de expressão. Não existe solução perfeita.,neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UFMG,progressista-regional
Voto obrigatório sem educação cívica séria é ritual vazio. Facultativo com consciência é melhor.,positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,USP,progressista-técnico
"Regulamentação sim, mas o modelo importa. PL atual tem problemas sérios que precisam ser corrigidos.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,INSPER,liberal-meritocrático
"Apoio descriminalização em casos extremos, mas legalização ampla ainda gera dúvidas pra mim.",neutro,Descriminalização vs. Legalização do Aborto,USP,progressista-técnico
Brasil tem potencial solar e eólico imenso. Não aproveitar é desperdiçar vantagem competitiva.,positivo,Transição Energética e Custo para a População,FGV,liberal-econômico
"Regulamentação sim, mas o modelo importa. PL atual tem problemas sérios que precisam ser corrigidos.",neutro,Regulamentação das Redes Sociais e Discurso de Ódio,UNB,político-crítico
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,MACKENZIE,conservador-técnico
Cidadão de bem desarmado é vítima fácil. Sou a favor do porte responsável.,negativo,Desarmamento vs. Flexibilização do Porte de Armas,USP,progressista-técnico
Nem proibir nem liberar sem critério. Precisamos de política clara e consistente entre os departamentos.,neutro,Regulamentação do Uso de IA em Provas e TCCs,INSPER,liberal-meritocrático
Apoio total à criação de serviços de apoio psicológico gratuito no campus. Era o mínimo.,positivo,Saúde Mental no Ambiente Universitário,UFBA,progressista-nordestino
"que negócio é esse, voto facultativo aos 16 respeita a autonomia de quem ainda não se sente pronto pra decidir.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNB,político-crítico
"ocê, aborto ilegal não evita aborto — mata mulher pobre. Descriminalização é pauta de saúde pública.",positivo,Descriminalização vs. Legalização do Aborto,UFMG,progressista-regional
Liberdade de expressão não é liberdade pra desumanizar. Apoio o PL das redes.,positivo,Regulamentação das Redes Sociais e Discurso de Ódio,MACKENZIE,conservador-técnico
"Se a pessoa tem 16 e quer votar, ótimo. Se não quer, forçar não faz sentido.",positivo,Voto Obrigatório vs. Facultativo aos 16 Anos,UNB,político-crítico
